Index,Date,Airport,User Class,Aircraft Type,Departures,Nautical MPG,Fuel Cost(Avg),Passenger Capacity,NM Distance to MCO (Orlando),NM Distance to DAB (Daytona Beach),Estimated Fuel Cost to MCO,Estimated Fuel Cost to DAB
109,9/29/2022,IAH,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
110,9/29/2022,MIA,Air Carrier,B763 - Boeing 767-300,4,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
111,9/30/2022,ATL,Air Carrier,B763 - Boeing 767-300,11,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
112,9/30/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
113,9/30/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
114,9/30/2022,DFW,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,854.5964742,850.9932531,22942.63,22845.9
115,9/30/2022,IAH,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
116,9/30/2022,MCO,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,0,46.83699169,0,1257.39
117,9/30/2022,MIA,Air Carrier,B763 - Boeing 767-300,8,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
118,9/30/2022,TPA,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,70.35989854,106.1965662,1888.89,2850.97
119,10/1/2022,ATL,Air Carrier,B763 - Boeing 767-300,10,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
120,10/1/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
121,10/1/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
122,10/1/2022,DFW,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,854.5964742,850.9932531,22942.63,22845.9
123,10/1/2022,IAH,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
124,10/1/2022,MCO,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,0,46.83699169,0,1257.39
125,10/1/2022,MIA,Air Carrier,B763 - Boeing 767-300,8,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
126,10/1/2022,TPA,Air Carrier,B763 - Boeing 767-300,4,0.13,3.49,230,70.35989854,106.1965662,1888.89,2850.97
127,9/21/2022,ATL,Air Carrier,B764 - Boeing 767-400,3,0.13,3.49,245,351.4968047,318.6082765,9436.34,8553.41
128,9/21/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
129,9/21/2022,MCO,Air Carrier,B764 - Boeing 767-400,2,0.13,3.49,245,0,46.83699169,0,1257.39
130,9/22/2022,ATL,Air Carrier,B764 - Boeing 767-400,2,0.13,3.49,245,351.4968047,318.6082765,9436.34,8553.41
131,9/22/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
132,9/22/2022,MCO,Air Carrier,B764 - Boeing 767-400,2,0.13,3.49,245,0,46.83699169,0,1257.39
133,9/23/2022,ATL,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,351.4968047,318.6082765,9436.34,8553.41
134,9/23/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
135,9/24/2022,ATL,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,351.4968047,318.6082765,9436.34,8553.41
136,9/24/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
137,9/25/2022,ATL,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,351.4968047,318.6082765,9436.34,8553.41
138,9/25/2022,FLL,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,154.4543168,192.6778018,4146.5,5172.66
139,9/25/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
140,9/26/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
141,9/27/2022,ATL,Air Carrier,B764 - Boeing 767-400,2,0.13,3.49,245,351.4968047,318.6082765,9436.34,8553.41
142,9/27/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
143,9/28/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
144,9/29/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
145,9/30/2022,ATL,Air Carrier,B764 - Boeing 767-400,3,0.13,3.49,245,351.4968047,318.6082765,9436.34,8553.41
146,9/30/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
147,9/30/2022,MCO,Air Carrier,B764 - Boeing 767-400,2,0.13,3.49,245,0,46.83699169,0,1257.39
148,10/1/2022,BNA,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,536.1061218,504.3115991,14392.39,13538.83
149,10/1/2022,IAH,Air Carrier,B764 - Boeing 767-400,1,0.13,3.49,245,740.6326352,746.6311445,19883.14,20044.17
150,9/21/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
151,9/21/2022,MIA,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,167.367911,207.2844794,4867.62,6028.52
152,9/22/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,2,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
153,9/22/2022,DFW,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,854.5964742,850.9932531,24854.51,24749.72
154,9/23/2022,DFW,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,854.5964742,850.9932531,24854.51,24749.72
155,9/23/2022,MIA,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,167.367911,207.2844794,4867.62,6028.52
